iter	Passed	Remaining
547	11774	9711
548	11785	9681
549	11796	9651
550	11808	9622
551	11819	9592
552	11923	9638
553	11941	9613
554	11956	9586
555	11970	9559
556	11983	9530
557	11994	9500
558	12006	9472
559	12017	9442
560	12029	9413
561	12040	9383
562	12049	9352
563	12174	9411
564	12201	9394
565	12217	9367
566	12255	9358
567	12295	9351
568	12460	9438
569	12501	9430
570	12516	9403
571	12529	9375
572	12540	9345
573	12553	9316
574	12565	9287
575	12577	9258
576	12589	9229
577	12600	9200
578	12611	9170
579	12666	9172
580	12720	9173
581	12738	9149
582	12762	9128
583	12772	9098
584	12782	9068
585	12792	9037
586	12802	9007
587	12814	8979
588	12825	8949
589	12838	8921
590	12849	8892
591	12861	8863
592	12873	8835
593	12942	8846
594	12985	8839
595	13003	8814
596	13021	8789
597	13035	8763
598	13049	8735
599	13062	8708
600	13075	8680
601	13088	8652
602	13100	8624
603	13110	8595
604	13121	8566
605	13133	8538
606	13154	8516
607	13237	8534
608	13258	8512
609	13273	8486
610	13290	8461
611	13305	8435
612	13319	8409
613	13332	8381
614	13345	8354
615	13358	8327
616	13370	8299
617	13382	8271
618	13393	8243
619	13406	8216
620	13510	8245
621	13528	8221
622	13539	8193
623	13552	8166
624	13565	8139
625	13577	8111
626	13591	8085
627	13604	8058
628	13616	8031
629	13627	8003
630	13640	7976
631	13695	7974
632	13742	7967
633	13760	7943
634	13778	7919
635	13792	7893
636	13806	7867
637	13820	7841
638	13832	7814
639	13844	7787
640	13858	7761
641	13870	7734
642	13882	7707
643	13892	7679
644	13903	7652
645	13969	7655
646	14018	7648
647	14036	7624
648	14052	7599
649	14085	7584
650	14103	7561
651	14117	7534
652	14129	7508
653	14141	7481
654	14152	7454
655	14165	7428
656	14197	7412
657	14269	7416
658	14296	7397
659	14314	7374
660	14333	7351
661	14350	7326
662	14364	7301
663	14377	7275
664	14390	7249
665	14402	7222
666	14438	7208
667	14612	7262
668	14635	7241
669	14656	7218
670	14669	7192
671	14680	7165
672	14691	7138
673	14703	7111
674	14774	7113
675	14826	7106
676	14845	7082
677	14864	7059
678	14880	7034
679	14897	7010
680	14910	6984
681	14920	6957
682	14929	6929
683	14936	6900
684	14948	6874
685	14961	6848
686	14972	6821
687	14983	6794
688	14993	6767
689	15015	6746
690	15115	6759
691	15132	6735
692	15147	6710
693	15165	6686
694	15180	6661
695	15195	6637
696	15209	6611
697	15222	6586
698	15237	6561
699	15249	6535
700	15260	6509
701	15272	6483
702	15283	6456
703	15294	6430
704	15391	6440
705	15416	6419
706	15428	6394
707	15445	6370
708	15457	6344
709	15469	6318
710	15481	6292
711	15495	6267
712	15508	6242
713	15520	6216
714	15530	6190
715	15636	6202
716	15655	6179
717	15670	6154
718	15682	6129
719	15696	6104
720	15710	6079
721	15721	6053
722	15733	6028
723	15745	6002
